iter	Passed	Remaining
0	1	127
1	2	117
2	3	112
3	4	104
4	5	105
5	6	103
6	7	102
7	8	101
8	9	99
9	11	99
10	12	97
11	13	97
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	38	68
36	39	67
37	40	66
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	92	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
